"","DOY","SM_sat","SM_gr"
"213",213,0.119459855771064,0.331780933333333
"214",214,0.163285153588651,0.33451186875
"215",215,0.188753766605256,0.33564186875
"216",216,0.0909215851813525,0.338562916666667
"217",217,0.222993937736747,0.3371995375
"218",218,0.213033639100191,0.336452355208333
"219",219,0.109668917369839,0.334724044791667
"220",220,0.184811393189428,0.331960827083333
"221",221,0.104145210456845,0.330391591666667
"222",222,0.157827594357727,0.327717425
"223",223,0.0698616417706005,0.326692439583333
"225",225,0.165566333970425,0.324884676041667
"227",227,0.210704065102336,0.355126233333333
"228",228,0.215657760205862,0.345543122916667
"229",229,0.134359888124466,0.338460371875
"230",230,0.187612278148529,0.332102433333333
"232",232,0.210128753748533,0.324028333333333
"233",233,0.157974159273503,0.321067403125
"234",234,0.208935109654066,0.318555832291667
"235",235,0.176668514138458,0.316829188541667
"236",236,0.15986954886317,0.316211117708333
"237",237,0.210277749705311,0.37220715625
"238",238,0.222317883738872,0.352642811458333
"239",239,0.212490910601613,0.338650617708333
"240",240,0.167114919582007,0.334661678125
"241",241,0.204749546098706,0.329703744791667
"242",242,0.131399878659843,0.322671688541667
"243",243,0.182800710228083,0.31639639375
"244",244,0.194223037937281,0.311696271875
"246",246,0.201957939231393,0.303517058333333
"247",247,0.126493284392356,0.3018763
"248",248,0.156978229373692,0.298869086458333
"249",249,0.199486837047336,0.298032146875
"250",250,0.0858124386727789,0.297347571875
"251",251,0.190226543724534,0.296024378125
"252",252,0.175080355247852,0.295488541666667
"253",253,0.171979228869078,0.298691788541667
"254",254,0.238607905662057,0.297865120833333
"255",255,0.0974541007935984,0.296393509375
"256",256,0.228089306330678,0.29446664375
"257",257,0.216164333891865,0.292544420833333
"258",258,0.216041011321542,0.290310826041667
"259",259,0.210861298480627,0.28943028125
"260",260,0.179404763868449,0.288023127083333
"261",261,0.17900184908509,0.290566402083333
"262",262,0.205160067087409,0.332909684375
"263",263,0.148688841938972,0.332110227083333
"264",264,0.261693350261446,0.31758838125
"265",265,0.248605788624283,0.307910791666667
"266",266,0.236972266644236,0.303722717708333
"267",267,0.201799147772786,0.298860498958333
"268",268,0.19503848429918,0.292694844791667
"269",269,0.187460404300688,0.289554114583333
"270",270,0.191639171913263,0.287604485416667
"271",271,0.180041615605352,0.287922377083333
"273",273,0.17484302101433,0.284919110416667
"274",274,0.178029928481576,0.282696747916667
"275",275,0.159180980992315,0.279652919791667
"276",276,0.16881176818609,0.276787290625
"278",278,0.171779441806672,0.271727820833333
"279",279,0.180872561687229,0.269941495833333
"280",280,0.185674355259535,0.264282384375
"281",281,0.145631010848281,0.258368633333333
"282",282,0.0991245800793151,0.256793423958333
"283",283,0.139080989539621,0.259534340625
"284",284,0.148651511809228,0.249261845833333
"285",285,0.285840047037599,0.246357059375
"286",286,0.235766887438295,0.252335651041667
"287",287,0.23850300517678,0.262545847916667
"288",288,0.154709015059471,0.268232189583333
"289",289,0.240368918502329,0.261927252083333
"290",290,0.122716578367351,0.254145121875
"291",291,0.243999082261321,0.251198126041667
"292",292,0.22345606986284,0.256464897916667
"293",293,0.115850036874413,0.256844848958333
"294",294,0.217727279144523,0.261146870833333
"295",295,0.134631747251748,0.255917742708333
"296",296,0.105208165174721,0.255868764583333
"297",297,0.239544320487973,0.262886780208333
"298",298,0.255552205914256,0.328051972916667
